sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"RPL9","Approved symbol","RPL9","ribosomal protein L9","HGNC:10369","4p14"
"TIAM1","Approved symbol","TIAM1","TIAM Rac1 associated GEF 1","HGNC:11805","21q22.11"
"FAM108C1","Previous symbol","ABHD17C","abhydrolase domain containing 17C, depalmitoylase","HGNC:26925","15q25.1"
"BLMH","Approved symbol","BLMH","bleomycin hydrolase","HGNC:1059","17q11.2"
"ZNF323","Previous symbol","ZSCAN31","zinc finger and SCAN domain containing 31","HGNC:14097","6p22.1"
"ASPH","Approved symbol","ASPH","aspartate beta-hydroxylase","HGNC:757","8q12.3"
"QSOX1","Approved symbol","QSOX1","quiescin sulfhydryl oxidase 1","HGNC:9756","1q25.2"
"PTPRU","Approved symbol","PTPRU","protein tyrosine phosphatase receptor type U","HGNC:9683","1p35.3"
"ZNF542","Previous symbol","ZNF542P","zinc finger protein 542, pseudogene","HGNC:25393","19q13.43"
"NRARP","Approved symbol","NRARP","NOTCH regulated ankyrin repeat protein","HGNC:33843","9q34.3"
"RHPN2","Approved symbol","RHPN2","rhophilin Rho GTPase binding protein 2","HGNC:19974","19q13.11"
"DUSP8","Approved symbol","DUSP8","dual specificity phosphatase 8","HGNC:3074","11p15.5"
"GCNT1","Approved symbol","GCNT1","glucosaminyl (N-acetyl) transferase 1","HGNC:4203","9q21.13"
"GAS5","Approved symbol","GAS5","growth arrest specific 5","HGNC:16355","1q25.1"
"GAB2","Approved symbol","GAB2","GRB2 associated binding protein 2","HGNC:14458","11q14.1"
"ETFB","Approved symbol","ETFB","electron transfer flavoprotein subunit beta","HGNC:3482","19q13.41"
"PLEKHG4","Approved symbol","PLEKHG4","pleckstrin homology and RhoGEF domain containing G4","HGNC:24501","16q22.1"
"SBK1","Approved symbol","SBK1","SH3 domain binding kinase 1","HGNC:17699","16p12.1"
"CCRN4L","Previous symbol","NOCT","nocturnin","HGNC:14254","4q31.1"
"RBBP8","Approved symbol","RBBP8","RB binding protein 8, endonuclease","HGNC:9891","18q11.2"
"HIPK2","Approved symbol","HIPK2","homeodomain interacting protein kinase 2","HGNC:14402","7q34"
"EXPH5","Approved symbol","EXPH5","exophilin 5","HGNC:30578","11q22.3"
"ATP1B1","Approved symbol","ATP1B1","ATPase Na+/K+ transporting subunit beta 1","HGNC:804","1q24.2"
"CA2","Approved symbol","CA2","carbonic anhydrase 2","HGNC:1373","8q21.2"
"KIAA1161","Previous symbol","MYORG","myogenesis regulating glycosidase (putative)","HGNC:19918","9p13.3"
"MGP","Approved symbol","MGP","matrix Gla protein","HGNC:7060","12p12.3"
"MBOAT2","Approved symbol","MBOAT2","membrane bound O-acyltransferase domain containing 2","HGNC:25193","2p25.1"
"RAB34","Approved symbol","RAB34","RAB34, member RAS oncogene family","HGNC:16519","17q11.2"
"AGPS","Approved symbol","AGPS","alkylglycerone phosphate synthase","HGNC:327","2q31.2"
"TUBB2A","Approved symbol","TUBB2A","tubulin beta 2A class IIa","HGNC:12412","6p25.2"
"C1orf115","Approved symbol","C1orf115","chromosome 1 open reading frame 115","HGNC:25873","1q41"
"AUTS2","Approved symbol","AUTS2","activator of transcription and developmental regulator AUTS2","HGNC:14262","7q11.22"
"NOMO2","Approved symbol","NOMO2","NODAL modulator 2","HGNC:22652","16p12.3"
"TRIB1","Approved symbol","TRIB1","tribbles pseudokinase 1","HGNC:16891","8q24.13"
"ZNF185","Approved symbol","ZNF185","zinc finger protein 185 with LIM domain","HGNC:12976","Xq28"
"GATS","Previous symbol","CASTOR3P","CASTOR family member 3, pseudogene","HGNC:29954","7q22.1"
"MMP15","Approved symbol","MMP15","matrix metallopeptidase 15","HGNC:7161","16q21"
"AMIGO3","Approved symbol","AMIGO3","adhesion molecule with Ig like domain 3","HGNC:24075","3p21.31"
"TP53INP2","Approved symbol","TP53INP2","tumor protein p53 inducible nuclear protein 2","HGNC:16104","20q11.22"
"SIPA1L2","Approved symbol","SIPA1L2","signal induced proliferation associated 1 like 2","HGNC:23800","1q42.2"
"SUB1","Approved symbol","SUB1","SUB1 regulator of transcription","HGNC:19985","5p13.3"
"POMZP3","Approved symbol","POMZP3","POM121 and ZP3 fusion","HGNC:9203","7q11.23"
"RPS27","Approved symbol","RPS27","ribosomal protein S27","HGNC:10416","1q21.3"
"CHPT1","Approved symbol","CHPT1","choline phosphotransferase 1","HGNC:17852","12q23.2"
"CYB561D1","Approved symbol","CYB561D1","cytochrome b561 family member D1","HGNC:26804","1p13.3"
"GGT7","Approved symbol","GGT7","gamma-glutamyltransferase 7","HGNC:4259","20q11.22"
"ACE","Approved symbol","ACE","angiotensin I converting enzyme","HGNC:2707","17q23.3"
"CBWD6","Previous symbol","ZNG1F","Zn regulated GTPase metalloprotein activator 1F","HGNC:31978","9p11.2"
"TC2N","Approved symbol","TC2N","tandem C2 domains, nuclear","HGNC:19859","14q32.12"
"PBX3","Approved symbol","PBX3","PBX homeobox 3","HGNC:8634","9q33.3"
"LDLR","Approved symbol","LDLR","low density lipoprotein receptor","HGNC:6547","19p13.2"
"PLEKHG5","Approved symbol","PLEKHG5","pleckstrin homology and RhoGEF domain containing G5","HGNC:29105","1p36.31"
"MXI1","Approved symbol","MXI1","MAX interactor 1, dimerization protein","HGNC:7534","10q25.2"
"ENDOD1","Approved symbol","ENDOD1","endonuclease domain containing 1","HGNC:29129","11q21"
"ALDH5A1","Approved symbol","ALDH5A1","aldehyde dehydrogenase 5 family member A1","HGNC:408","6p22.3"
"ACER3","Approved symbol","ACER3","alkaline ceramidase 3","HGNC:16066","11q13.5"
"SCRN1","Approved symbol","SCRN1","secernin 1","HGNC:22192","7p14.3"
"NOTCH2NL","Previous symbol","NOTCH2NLA","notch 2 N-terminal like A","HGNC:31862","1q21.1"
"OSBPL1A","Approved symbol","OSBPL1A","oxysterol binding protein like 1A","HGNC:16398","18q11.2"
"DHRS3","Approved symbol","DHRS3","dehydrogenase/reductase 3","HGNC:17693","1p36.21"
"DSP","Approved symbol","DSP","desmoplakin","HGNC:3052","6p24.3"
"FZD5","Approved symbol","FZD5","frizzled class receptor 5","HGNC:4043","2q33.3"
"SNHG5","Approved symbol","SNHG5","small nucleolar RNA host gene 5","HGNC:21026","6q14.3"
"RPS26","Approved symbol","RPS26","ribosomal protein S26","HGNC:10414","12q13.2"
"TACC2","Approved symbol","TACC2","transforming acidic coiled-coil containing protein 2","HGNC:11523","10q26.13"
"TMEM64","Approved symbol","TMEM64","transmembrane protein 64","HGNC:25441","8q21.3"
"WWOX","Approved symbol","WWOX","WW domain containing oxidoreductase","HGNC:12799","16q23.1-q23.2"
"ELF3","Approved symbol","ELF3","E74 like ETS transcription factor 3","HGNC:3318","1q32.1"
"PC","Approved symbol","PC","pyruvate carboxylase","HGNC:8636","11q13.2"
"PC","Alias symbol","PODXL","podocalyxin like","HGNC:9171","7q32.3"
"CDKN1B","Approved symbol","CDKN1B","cyclin dependent kinase inhibitor 1B","HGNC:1785","12p13.1"
"TLR5","Approved symbol","TLR5","toll like receptor 5","HGNC:11851","1q41"
"TST","Approved symbol","TST","thiosulfate sulfurtransferase","HGNC:12388","22q12.3"
"ZNF649","Approved symbol","ZNF649","zinc finger protein 649","HGNC:25741","19q13.41"
"DDTL","Approved symbol","DDTL","D-dopachrome tautomerase like","HGNC:33446","22q11.23"
"SMARCA1","Approved symbol","SMARCA1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1","HGNC:11097","Xq25-q26.1"
"RAGE","Previous symbol","MOK","MOK protein kinase","HGNC:9833","14q32.31"
"RAGE","Alias symbol","AGER","advanced glycosylation end-product specific receptor","HGNC:320","6p21.32"
"TMEM231","Approved symbol","TMEM231","transmembrane protein 231","HGNC:37234","16q23.1"
"LINGO1","Approved symbol","LINGO1","leucine rich repeat and Ig domain containing 1","HGNC:21205","15q24.3"
"SLC16A2","Approved symbol","SLC16A2","solute carrier family 16 member 2","HGNC:10923","Xq13.2"
"MAP1LC3A","Approved symbol","MAP1LC3A","microtubule associated protein 1 light chain 3 alpha","HGNC:6838","20q11.22"
"SCAMP5","Approved symbol","SCAMP5","secretory carrier membrane protein 5","HGNC:30386","15q24.2"
"EPHX1","Approved symbol","EPHX1","epoxide hydrolase 1","HGNC:3401","1q42.12"
"FRG1B","Previous symbol","FRG1BP","FSHD region gene 1 family member B, pseudogene","HGNC:15792","20q11.1"
"CDH1","Approved symbol","CDH1","cadherin 1","HGNC:1748","16q22.1"
"CDH1","Alias symbol","FZR1","fizzy and cell division cycle 20 related 1","HGNC:24824","19p13.3"
"IGSF9","Approved symbol","IGSF9","immunoglobulin superfamily member 9","HGNC:18132","1q23.2"
"CDK18","Approved symbol","CDK18","cyclin dependent kinase 18","HGNC:8751","1q32.1"
"MAL2","Approved symbol","MAL2","mal, T cell differentiation protein 2","HGNC:13634","8q24.12"
"GALE","Approved symbol","GALE","UDP-galactose-4-epimerase","HGNC:4116","1p36.11"
"LYPD3","Approved symbol","LYPD3","LY6/PLAUR domain containing 3","HGNC:24880","19q13.31"
"MLF1","Approved symbol","MLF1","myeloid leukemia factor 1","HGNC:7125","3q25.32"
"MTSS1","Approved symbol","MTSS1","MTSS I-BAR domain containing 1","HGNC:20443","8q24.13"
"SIK1","Approved symbol","SIK1","salt inducible kinase 1","HGNC:11142","21q22.3"
"LRRC20","Approved symbol","LRRC20","leucine rich repeat containing 20","HGNC:23421","10q22.1"
"CD44","Approved symbol","CD44","CD44 molecule (Indian blood group)","HGNC:1681","11p13"
"RHOBTB3","Approved symbol","RHOBTB3","Rho related BTB domain containing 3","HGNC:18757","5q15"
"TMEM79","Approved symbol","TMEM79","transmembrane protein 79","HGNC:28196","1q22"
"OBSCN","Approved symbol","OBSCN","obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF","HGNC:15719","1q42.13"
"NGFRAP1","Previous symbol","BEX3","brain expressed X-linked 3","HGNC:13388","Xq22.2"
"CBWD3","Previous symbol","ZNG1C","Zn regulated GTPase metalloprotein activator 1C","HGNC:18519","9q21.11"
"FAM46A","Previous symbol","TENT5A","terminal nucleotidyltransferase 5A","HGNC:18345","6q14.1"
"ISYNA1","Approved symbol","ISYNA1","inositol-3-phosphate synthase 1","HGNC:29821","19p13.11"
"LDOC1","Approved symbol","LDOC1","LDOC1 regulator of NFKB signaling","HGNC:6548","Xq27.1"
"FAHD2B","Approved symbol","FAHD2B","fumarylacetoacetate hydrolase domain containing 2B","HGNC:25318","2q11.2"
"PPFIBP2","Approved symbol","PPFIBP2","PPFIA binding protein 2","HGNC:9250","11p15.4"
"ANKRD37","Approved symbol","ANKRD37","ankyrin repeat domain 37","HGNC:29593","4q35.1"
"FZD6","Approved symbol","FZD6","frizzled class receptor 6","HGNC:4044","8q22.3"
"OBSL1","Approved symbol","OBSL1","obscurin like cytoskeletal adaptor 1","HGNC:29092","2q35"
"FAM110A","Approved symbol","FAM110A","family with sequence similarity 110 member A","HGNC:16188","20p13"
"TUSC3","Approved symbol","TUSC3","tumor suppressor candidate 3","HGNC:30242","8p22"
"AMOT","Approved symbol","AMOT","angiomotin","HGNC:17810","Xq23"
"EFNA1","Approved symbol","EFNA1","ephrin A1","HGNC:3221","1q22"
"OAT","Approved symbol","OAT","ornithine aminotransferase","HGNC:8091","10q26.13"
"NAV2","Approved symbol","NAV2","neuron navigator 2","HGNC:15997","11p15.1"
"GSTA4","Approved symbol","GSTA4","glutathione S-transferase alpha 4","HGNC:4629","6p12.2"
"TSKU","Approved symbol","TSKU","tsukushi, small leucine rich proteoglycan","HGNC:28850","11q13.5"
"MAFF","Approved symbol","MAFF","MAF bZIP transcription factor F","HGNC:6780","22q13.1"
"TIFA","Approved symbol","TIFA","TRAF interacting protein with forkhead associated domain","HGNC:19075","4q25"
"TIFA","Alias symbol","IL22","interleukin 22","HGNC:14900","12q15"
"DSG2","Approved symbol","DSG2","desmoglein 2","HGNC:3049","18q12.1"
"SLC6A9","Approved symbol","SLC6A9","solute carrier family 6 member 9","HGNC:11056","1p34.1"
"SCD","Approved symbol","SCD","stearoyl-CoA desaturase","HGNC:10571","10q24.31"
"SCD","Alias symbol","SLC22A5","solute carrier family 22 member 5","HGNC:10969","5q31.1"
"NPIPL3","Previous symbol","NPIPB3","nuclear pore complex interacting protein family member B3","HGNC:28989","16p12.2"
"ZC3H12A","Approved symbol","ZC3H12A","zinc finger CCCH-type containing 12A","HGNC:26259","1p34.3"
"C1orf63","Previous symbol","RSRP1","arginine and serine rich protein 1","HGNC:25234","1p36.11"
"NFKBIZ","Approved symbol","NFKBIZ","NFKB inhibitor zeta","HGNC:29805","3q12.3"
"ZNF767","Previous symbol","ZNF767P","zinc finger family member 767, pseudogene","HGNC:21884","7q36.1"
"LOC91316","Unmatched","","","",""
"ZNF577","Approved symbol","ZNF577","zinc finger protein 577","HGNC:28673","19q13.41"
"ANKRD36","Approved symbol","ANKRD36","ankyrin repeat domain 36","HGNC:24079","2q11.2"
"GABBR1","Approved symbol","GABBR1","gamma-aminobutyric acid type B receptor subunit 1","HGNC:4070","6p22.1"
"NINL","Approved symbol","NINL","ninein like","HGNC:29163","20p11.21"
"LOC100288778","Unmatched","","","",""
"VAMP1","Approved symbol","VAMP1","vesicle associated membrane protein 1","HGNC:12642","12p13.31"
"ZNF37B","Previous symbol","ZNF37BP","zinc finger protein 37B, pseudogene","HGNC:13103","10q11.21"
"PILRB","Approved symbol","PILRB","paired immunoglobin like type 2 receptor beta","HGNC:18297","7q22.1"
"HERC2P2","Approved symbol","HERC2P2","HERC2 pseudogene 2","HGNC:4870","15q11.2"
"NCRNA00201","Previous symbol","HNRNPU","heterogeneous nuclear ribonucleoprotein U","HGNC:5048","1q44"
"ZNF862","Approved symbol","ZNF862","zinc finger protein 862","HGNC:34519","7q36.1"
"KIAA0895L","Previous symbol","MATCAP1","microtubule associated tyrosine carboxypeptidase 1","HGNC:34408","16q22.1"
"PLA2G6","Approved symbol","PLA2G6","phospholipase A2 group VI","HGNC:9039","22q13.1"
"CHKB-CPT1B","Approved symbol","CHKB-CPT1B","CHKB-CPT1B readthrough (NMD candidate)","HGNC:41998","22q13.33"
"MAPK8IP3","Approved symbol","MAPK8IP3","mitogen-activated protein kinase 8 interacting protein 3","HGNC:6884","16p13.3"
"CPT1B","Approved symbol","CPT1B","carnitine palmitoyltransferase 1B","HGNC:2329","22q13.33"
"LOC284900","Unmatched","","","",""
"NSUN5P2","Approved symbol","NSUN5P2","NSUN5 pseudogene 2","HGNC:16609","7q11.23"
"LOC150776","Unmatched","","","",""
"POLR2J3","Approved symbol","POLR2J3","RNA polymerase II subunit J3","HGNC:33853","7q22.1"
"LOC338799","Unmatched","","","",""
"AHSA2","Previous symbol","AHSA2P","activator of HSP90 ATPase homolog 2, pseudogene","HGNC:20437","2p15"
"TTLL3","Approved symbol","TTLL3","tubulin tyrosine ligase like 3","HGNC:24483","3p25.3"
"CCDC64B","Previous symbol","BICDL2","BICD family like cargo adaptor 2","HGNC:33584","16p13.3"
"FLJ35220","Alias symbol","ENDOV","endonuclease V","HGNC:26640","17q25.3"
"ATG16L2","Approved symbol","ATG16L2","autophagy related 16 like 2","HGNC:25464","11q13.4"
"SGSM2","Approved symbol","SGSM2","small G protein signaling modulator 2","HGNC:29026","17p13.3"
"MALAT1","Approved symbol","MALAT1","metastasis associated lung adenocarcinoma transcript 1","HGNC:29665","11q13.1"
"LOC100129637","Unmatched","","","",""
"CCDC57","Approved symbol","CCDC57","coiled-coil domain containing 57","HGNC:27564","17q25.3"
"APBB3","Approved symbol","APBB3","amyloid beta precursor protein binding family B member 3","HGNC:20708","5q31.3"
"WDR52","Previous symbol","CFAP44","cilia and flagella associated protein 44","HGNC:25631","3q13.2"
"NEAT1","Approved symbol","NEAT1","nuclear paraspeckle assembly transcript 1","HGNC:30815","11q13.1"
"CSAD","Approved symbol","CSAD","cysteine sulfinic acid decarboxylase","HGNC:18966","12q13.13"
"GPX3","Approved symbol","GPX3","glutathione peroxidase 3","HGNC:4555","5q33.1"
"PARM1","Approved symbol","PARM1","prostate androgen-regulated mucin-like protein 1","HGNC:24536","4q13.3"
"PKN3","Approved symbol","PKN3","protein kinase N3","HGNC:17999","9q34.11"
"SEMA6A","Approved symbol","SEMA6A","semaphorin 6A","HGNC:10738","5q23.1"
"CEBPD","Approved symbol","CEBPD","CCAAT enhancer binding protein delta","HGNC:1835","8q11.21"
"JUNB","Approved symbol","JUNB","JunB proto-oncogene, AP-1 transcription factor subunit","HGNC:6205","19p13.13"
"CAV1","Approved symbol","CAV1","caveolin 1","HGNC:1527","7q31.2"
"SH2D3C","Approved symbol","SH2D3C","SH2 domain containing 3C","HGNC:16884","9q34.11"
"JUN","Approved symbol","JUN","Jun proto-oncogene, AP-1 transcription factor subunit","HGNC:6204","1p32.1"
"ZFP36","Approved symbol","ZFP36","ZFP36 ring finger protein","HGNC:12862","19q13.2"
"EGR1","Approved symbol","EGR1","early growth response 1","HGNC:3238","5q31.2"
"LMO2","Approved symbol","LMO2","LIM domain only 2","HGNC:6642","11p13"
"DUSP6","Approved symbol","DUSP6","dual specificity phosphatase 6","HGNC:3072","12q21.33"
"NOS3","Approved symbol","NOS3","nitric oxide synthase 3","HGNC:7876","7q36.1"
"NOS3","Alias symbol","NANOS3","nanos C2HC-type zinc finger 3","HGNC:22048","19p13.12"
"SEPT4","Previous symbol","SEPTIN4","septin 4","HGNC:9165","17q22"
"BNIP3","Approved symbol","BNIP3","BCL2 interacting protein 3","HGNC:1084","10q26.3"
"EPAS1","Approved symbol","EPAS1","endothelial PAS domain protein 1","HGNC:3374","2p21"
"F8","Approved symbol","F8","coagulation factor VIII","HGNC:3546","Xq28"
"NR4A1","Approved symbol","NR4A1","nuclear receptor subfamily 4 group A member 1","HGNC:7980","12q13.13"
"FLT4","Approved symbol","FLT4","fms related receptor tyrosine kinase 4","HGNC:3767","5q35.3"
"RHOU","Approved symbol","RHOU","ras homolog family member U","HGNC:17794","1q42.13"
"HEY1","Approved symbol","HEY1","hes related family bHLH transcription factor with YRPW motif 1","HGNC:4880","8q21.13"
"AQP1","Approved symbol","AQP1","aquaporin 1 (Colton blood group)","HGNC:633","7p14.3"
"PECAM1","Approved symbol","PECAM1","platelet and endothelial cell adhesion molecule 1","HGNC:8823","17q23.3"
"METTL7A","Previous symbol","TMT1A","thiol methyltransferase 1A","HGNC:24550","12q13.12"
"KDR","Approved symbol","KDR","kinase insert domain receptor","HGNC:6307","4q12"
"PER1","Approved symbol","PER1","period circadian regulator 1","HGNC:8845","17p13.1"
"PER1","Alias symbol","PGAP3","post-GPI attachment to proteins phospholipase 3","HGNC:23719","17q12"
"APOLD1","Approved symbol","APOLD1","apolipoprotein L domain containing 1","HGNC:25268","12p13.1"
"APLNR","Approved symbol","APLNR","apelin receptor","HGNC:339","11q12.1"
"CYGB","Approved symbol","CYGB","cytoglobin","HGNC:16505","17q25.1"
"EFNB2","Approved symbol","EFNB2","ephrin B2","HGNC:3227","13q33.3"
"SH3BGRL2","Approved symbol","SH3BGRL2","SH3 domain binding glutamate rich protein like 2","HGNC:15567","6q14.1"
"CXorf36","Previous symbol","DIPK2B","divergent protein kinase domain 2B","HGNC:25866","Xp11.3"
"CYR61","Previous symbol","CCN1","cellular communication network factor 1","HGNC:2654","1p22.3"
"EGFL7","Approved symbol","EGFL7","EGF like domain multiple 7","HGNC:20594","9q34.3"
"SPRY1","Approved symbol","SPRY1","sprouty RTK signaling antagonist 1","HGNC:11269","4q28.1"
"FGD5","Approved symbol","FGD5","FYVE, RhoGEF and PH domain containing 5","HGNC:19117","3p25.1"
"CD93","Approved symbol","CD93","CD93 molecule","HGNC:15855","20p11.21"
"GPAM","Approved symbol","GPAM","glycerol-3-phosphate acyltransferase, mitochondrial","HGNC:24865","10q25.2"
"C8orf4","Previous symbol","TCIM","transcriptional and immune response regulator","HGNC:1357","8p11.21"
"MECOM","Approved symbol","MECOM","MDS1 and EVI1 complex locus","HGNC:3498","3q26.2"
"C17orf103","Previous symbol","NATD1","N-acetyltransferase domain containing 1","HGNC:30770","17p11.2"
"CDH5","Approved symbol","CDH5","cadherin 5","HGNC:1764","16q21"
"FOS","Approved symbol","FOS","Fos proto-oncogene, AP-1 transcription factor subunit","HGNC:3796","14q24.3"
"LTBP4","Approved symbol","LTBP4","latent transforming growth factor beta binding protein 4","HGNC:6717","19q13.2"
"TIE1","Approved symbol","TIE1","tyrosine kinase with immunoglobulin like and EGF like domains 1","HGNC:11809","1p34.2"
"A2M","Approved symbol","A2M","alpha-2-macroglobulin","HGNC:7","12p13.31"
"RASIP1","Approved symbol","RASIP1","Ras interacting protein 1","HGNC:24716","19q13.33"
"ELTD1","Previous symbol","ADGRL4","adhesion G protein-coupled receptor L4","HGNC:20822","1p31.1"
"PTPRM","Approved symbol","PTPRM","protein tyrosine phosphatase receptor type M","HGNC:9675","18p11.23"
"AFAP1L2","Approved symbol","AFAP1L2","actin filament associated protein 1 like 2","HGNC:25901","10q25.3"
"PPAP2A","Previous symbol","PLPP1","phospholipid phosphatase 1","HGNC:9228","5q11.2"
"GNG11","Approved symbol","GNG11","G protein subunit gamma 11","HGNC:4403","7q21.3"
"CALCRL","Approved symbol","CALCRL","calcitonin receptor like receptor","HGNC:16709","2q32.1"
"ARL4A","Approved symbol","ARL4A","ADP ribosylation factor like GTPase 4A","HGNC:695","7p21.3"
"TMEM204","Approved symbol","TMEM204","transmembrane protein 204","HGNC:14158","16p13.3"
"VWF","Approved symbol","VWF","von Willebrand factor","HGNC:12726","12p13.31"
"CA5B","Approved symbol","CA5B","carbonic anhydrase 5B","HGNC:1378","Xp22.2"
"NR2F2","Approved symbol","NR2F2","nuclear receptor subfamily 2 group F member 2","HGNC:7976","15q26.2"
"AOC3","Approved symbol","AOC3","amine oxidase copper containing 3","HGNC:550","17q21.31"
"EMCN","Approved symbol","EMCN","endomucin","HGNC:16041","4q24"
"ARAP3","Approved symbol","ARAP3","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3","HGNC:24097","5q31.3"
"ATF3","Approved symbol","ATF3","activating transcription factor 3","HGNC:785","1q32.3"
"DUSP1","Approved symbol","DUSP1","dual specificity phosphatase 1","HGNC:3064","5q35.1"
"DUSP1","Alias symbol","DUSP12","dual specificity phosphatase 12","HGNC:3067","1q23.3"
"ATP2A3","Approved symbol","ATP2A3","ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3","HGNC:813","17p13.2"
"STS","Approved symbol","STS","steroid sulfatase","HGNC:11425","Xp22.31"
"SLC2A3","Approved symbol","SLC2A3","solute carrier family 2 member 3","HGNC:11007","12p13.31"
"ARHGEF15","Approved symbol","ARHGEF15","Rho guanine nucleotide exchange factor 15","HGNC:15590","17p13.1"
"APOD","Approved symbol","APOD","apolipoprotein D","HGNC:612","3q29"
"THBD","Approved symbol","THBD","thrombomodulin","HGNC:11784","20p11.21"
"SPARCL1","Approved symbol","SPARCL1","SPARC like 1","HGNC:11220","4q22.1"
"TBX2","Approved symbol","TBX2","T-box transcription factor 2","HGNC:11597","17q23.2"
"CLEC14A","Approved symbol","CLEC14A","C-type lectin domain containing 14A","HGNC:19832","14q21.1"
"PALM2-AKAP2","Previous symbol","PALM2AKAP2","PALM2 and AKAP2 fusion","HGNC:33529","9q31.3"
"MMRN2","Approved symbol","MMRN2","multimerin 2","HGNC:19888","10q23.2"
"HBEGF","Approved symbol","HBEGF","heparin binding EGF like growth factor","HGNC:3059","5q31.3"
"FBLN7","Approved symbol","FBLN7","fibulin 7","HGNC:26740","2q13"
"RAMP3","Approved symbol","RAMP3","receptor activity modifying protein 3","HGNC:9845","7p13"
"TTC28","Approved symbol","TTC28","tetratricopeptide repeat domain 28","HGNC:29179","22q12.1"
"KLF2","Approved symbol","KLF2","KLF transcription factor 2","HGNC:6347","19p13.11"
"RGS5","Approved symbol","RGS5","regulator of G protein signaling 5","HGNC:10001","1q23.3"
"ATP8B2","Approved symbol","ATP8B2","ATPase phospholipid transporting 8B2","HGNC:13534","1q21.3"
"SEMA3G","Approved symbol","SEMA3G","semaphorin 3G","HGNC:30400","3p21.1"
"PTPRB","Approved symbol","PTPRB","protein tyrosine phosphatase receptor type B","HGNC:9665","12q15"
"SPRY2","Approved symbol","SPRY2","sprouty RTK signaling antagonist 2","HGNC:11270","13q31.1"
"PODXL","Approved symbol","PODXL","podocalyxin like","HGNC:9171","7q32.3"
"FZD4","Approved symbol","FZD4","frizzled class receptor 4","HGNC:4042","11q14.2"
"CYYR1","Approved symbol","CYYR1","cysteine and tyrosine rich 1","HGNC:16274","21q21.3"
"SEMA6B","Approved symbol","SEMA6B","semaphorin 6B","HGNC:10739","19p13.3"
"RAMP2","Approved symbol","RAMP2","receptor activity modifying protein 2","HGNC:9844","17q21.2"
"ETS2","Approved symbol","ETS2","ETS proto-oncogene 2, transcription factor","HGNC:3489","21q22.2"
"POLB","Approved symbol","POLB","DNA polymerase beta","HGNC:9174","8p11.21"
"HIST1H2BK","Previous symbol","H2BC12","H2B clustered histone 12","HGNC:13954","6p22.1"
"TMEM101","Approved symbol","TMEM101","transmembrane protein 101","HGNC:28653","17q21.31"
"DMPK","Approved symbol","DMPK","DM1 protein kinase","HGNC:2933","19q13.32"
"SERHL","Approved symbol","SERHL","serine hydrolase like (pseudogene)","HGNC:14408","22q13.2"
"CYP4V2","Approved symbol","CYP4V2","cytochrome P450 family 4 subfamily V member 2","HGNC:23198","4q35.1-q35.2"
"CITED2","Approved symbol","CITED2","Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2","HGNC:1987","6q24.1"
"PROM2","Approved symbol","PROM2","prominin 2","HGNC:20685","2q11.1"
"TRIM45","Approved symbol","TRIM45","tripartite motif containing 45","HGNC:19018","1p13.1"
"HIST2H4A","Previous symbol","H4C14","H4 clustered histone 14","HGNC:4794","1q21.2"
"PTGR1","Approved symbol","PTGR1","prostaglandin reductase 1","HGNC:18429","9q31.3"
"CCDC113","Approved symbol","CCDC113","coiled-coil domain containing 113","HGNC:25002","16q21"
"TTC39C","Approved symbol","TTC39C","tetratricopeptide repeat domain 39C","HGNC:26595","18q11.2"
"CYFIP2","Approved symbol","CYFIP2","cytoplasmic FMR1 interacting protein 2","HGNC:13760","5q33.3"
"CDON","Approved symbol","CDON","cell adhesion associated, oncogene regulated","HGNC:17104","11q24.2"
"ACSS1","Approved symbol","ACSS1","acyl-CoA synthetase short chain family member 1","HGNC:16091","20p11.21"
"SETBP1","Approved symbol","SETBP1","SET binding protein 1","HGNC:15573","18q12.3"
"PGAP3","Approved symbol","PGAP3","post-GPI attachment to proteins phospholipase 3","HGNC:23719","17q12"
"TRIL","Approved symbol","TRIL","TLR4 interactor with leucine rich repeats","HGNC:22200","7p14.3"
"PFN2","Approved symbol","PFN2","profilin 2","HGNC:8882","3q25.1"
"SRR","Approved symbol","SRR","serine racemase","HGNC:14398","17p13.3"
"HIST2H2BE","Previous symbol","H2BC21","H2B clustered histone 21","HGNC:4760","1q21.2"
"CRABP2","Approved symbol","CRABP2","cellular retinoic acid binding protein 2","HGNC:2339","1q23.1"
"CRIP2","Approved symbol","CRIP2","cysteine rich protein 2","HGNC:2361","14q32.33"
"ACOX3","Approved symbol","ACOX3","acyl-CoA oxidase 3, pristanoyl","HGNC:121","4p16.1"
"HIST1H2AC","Previous symbol","H2AC6","H2A clustered histone 6","HGNC:4733","6p22.2"
"SEMA4B","Approved symbol","SEMA4B","semaphorin 4B","HGNC:10730","15q26.1"
"MLLT11","Approved symbol","MLLT11","MLLT11 transcription factor 7 cofactor","HGNC:16997","1q21.3"
"STXBP1","Approved symbol","STXBP1","syntaxin binding protein 1","HGNC:11444","9q34.11"
